vehicle_type,driver_age,driving_experience_yrs,gender,license_valid,helmet_or_seatbelt,alcohol_detected,mobile_phone_use,fatigue_score,vehicle_age_years,last_service_months,past_accident_count
Tempo,28,10,Male,1,0,0,0,0.155,15,3,2
Two-Wheeler,22,4,Male,1,1,0,0,0.291,8,31,1
Bus,28,10,Male,1,0,1,0,0.482,4,34,0
Auto-Rickshaw,27,9,Male,1,0,0,0,0.105,20,16,1
Two-Wheeler,37,19,Male,1,1,0,0,0.26,10,21,0
Tempo,54,25,Male,1,1,1,0,0.304,17,8,0
E-Rickshaw,29,11,Male,0,1,0,0,0.417,8,12,0
Truck/HCV,53,0,Female,0,0,0,0,0.047,11,36,2
Car/SUV,39,18,Male,1,0,0,0,0.661,23,8,0
Tractor,19,1,Male,1,1,1,0,0.299,17,31,0
Tractor,53,8,Male,1,0,0,0,0.359,23,12,0
Car/SUV,49,13,Female,1,0,0,1,0.123,16,12,0
Truck/HCV,42,8,Male,1,0,0,0,0.337,21,9,3
E-Rickshaw,42,8,Male,1,1,0,0,0.268,10,25,0
Auto-Rickshaw,54,15,Female,0,0,0,1,0.282,0,23,0
Tractor,59,21,Male,1,0,0,0,0.31,18,5,0
Car/SUV,65,21,Female,1,1,0,1,0.215,20,11,0
Tempo,49,13,Male,1,0,0,1,0.261,12,13,0
Tempo,49,9,Female,0,0,0,0,0.618,23,19,0
Bus,24,6,Male,1,1,0,0,0.036,6,4,0
E-Rickshaw,32,10,Male,1,1,0,0,0.111,15,14,3
Car/SUV,54,22,Male,1,1,1,1,0.276,11,27,1
Tractor,20,2,Male,0,0,0,1,0.229,5,36,1
Tempo,59,17,Male,1,1,0,0,0.21,15,0,1
Tempo,41,0,Male,1,0,0,0,0.473,0,14,0
Two-Wheeler,28,10,Male,0,1,0,0,0.211,18,31,1
Car/SUV,41,23,Male,1,0,0,0,0.294,8,14,1
Bus,61,13,Male,1,0,0,1,0.277,0,16,0
Two-Wheeler,42,24,Male,1,0,0,0,0.457,10,23,1
E-Rickshaw,44,13,Female,1,1,1,0,0.58,21,3,0
Two-Wheeler,52,31,Male,0,1,0,0,0.142,12,34,2
Auto-Rickshaw,37,17,Male,1,1,1,1,0.307,5,22,0
E-Rickshaw,59,31,Male,1,0,0,1,0.401,21,26,0
Tempo,33,5,Male,1,1,0,1,0.117,25,9,0
Tractor,54,34,Male,0,0,1,0,0.378,13,7,0
Auto-Rickshaw,30,12,Female,1,1,0,1,0.453,1,26,1
Car/SUV,56,2,Female,0,1,0,0,0.162,13,12,0
Auto-Rickshaw,31,13,Female,1,1,0,0,0.357,4,22,1
Tempo,57,25,Male,0,0,0,1,0.227,5,26,0
Tractor,28,10,Male,1,0,1,0,0.368,21,12,1
Tractor,42,3,Female,1,1,1,0,0.559,11,26,3
Bus,46,28,Male,1,1,0,0,0.251,6,18,2
Two-Wheeler,30,12,Female,1,0,0,0,0.387,1,24,3
Tractor,51,24,Female,1,1,0,0,0.54,17,4,0
Two-Wheeler,29,11,Female,1,1,1,1,0.578,7,8,1
Two-Wheeler,41,7,Male,1,0,0,0,0.37,17,24,0
Tempo,57,10,Male,1,1,0,0,0.057,11,23,1
Tempo,63,27,Male,1,1,0,0,0.28,9,18,0
Tempo,34,9,Male,1,1,0,0,0.071,18,3,0
Bus,55,9,Male,0,0,0,0,0.65,0,26,0
Auto-Rickshaw,51,6,Male,1,1,0,1,0.628,6,18,0
Bus,38,20,Male,0,0,0,1,0.111,13,18,0
Bus,64,12,Male,1,0,0,0,0.496,5,13,0
Two-Wheeler,62,3,Male,1,1,0,0,0.281,6,11,0
E-Rickshaw,53,26,Male,1,0,0,0,0.188,16,29,1
E-Rickshaw,56,21,Male,0,1,0,1,0.17,1,36,0
Auto-Rickshaw,51,31,Male,0,0,1,0,0.412,21,36,0
Tractor,32,14,Male,1,0,0,1,0.299,13,2,0
Tractor,41,0,Female,1,0,0,0,0.295,2,14,0
Truck/HCV,23,5,Male,1,1,1,0,0.381,19,35,2
Car/SUV,22,4,Male,1,1,0,0,0.217,18,5,0
E-Rickshaw,26,8,Female,1,0,0,0,0.727,18,18,0
Car/SUV,18,0,Female,0,0,0,1,0.347,7,36,0
Tractor,20,2,Female,0,1,0,0,0.407,8,24,0
Truck/HCV,42,23,Female,0,1,0,0,0.233,10,26,0
Car/SUV,53,14,Male,1,1,0,1,0.271,24,11,0
E-Rickshaw,53,8,Male,1,0,0,1,0.385,0,32,1
Two-Wheeler,45,27,Male,1,1,0,1,0.395,5,31,1
Auto-Rickshaw,29,5,Male,0,1,0,1,0.346,9,9,0
Tempo,30,12,Female,0,0,0,1,0.34,21,16,0
Truck/HCV,25,7,Male,1,1,0,0,0.245,10,21,1
E-Rickshaw,20,2,Male,1,1,0,1,0.207,11,4,0
Tractor,60,31,Male,1,1,1,0,0.264,21,35,0
Tempo,63,8,Male,1,0,0,0,0.279,11,15,0
Two-Wheeler,48,5,Male,1,0,1,0,0.196,19,27,1
Tractor,33,11,Female,1,1,0,0,0.407,10,31,0
Tractor,54,5,Female,1,0,0,1,0.206,22,7,1
Two-Wheeler,28,10,Male,1,1,1,0,0.193,9,7,1
Bus,25,7,Male,0,1,0,0,0.22,16,6,0
Two-Wheeler,64,29,Male,1,0,1,0,0.451,21,1,0
Bus,40,19,Male,1,0,0,0,0.303,9,36,0
Auto-Rickshaw,37,15,Male,0,1,0,0,0.122,11,28,1
Tempo,24,6,Male,0,0,0,0,0.378,12,13,1
Tractor,57,7,Female,1,0,0,0,0.388,10,30,1
Truck/HCV,54,19,Male,1,1,0,0,0.043,10,34,0
Tractor,18,0,Male,1,1,1,0,0.099,24,18,1
Auto-Rickshaw,36,18,Male,1,0,0,0,0.118,9,27,0
Tractor,27,9,Male,1,1,1,0,0.323,1,21,0
Car/SUV,23,5,Male,1,0,0,1,0.582,11,11,0
Bus,18,0,Male,1,1,1,0,0.186,23,36,1
Truck/HCV,46,28,Male,1,1,0,0,0.406,2,5,0
Tempo,22,4,Male,1,0,0,0,0.298,16,8,0
Two-Wheeler,49,31,Male,0,0,0,1,0.043,21,1,0
E-Rickshaw,56,0,Male,1,0,0,0,0.049,3,31,1
Truck/HCV,35,2,Male,1,0,1,1,0.413,7,3,0
Bus,55,4,Male,1,0,0,0,0.278,25,14,1
Two-Wheeler,55,30,Female,1,0,1,1,0.151,7,1,0
Truck/HCV,29,6,Male,1,1,0,1,0.234,1,23,1
Auto-Rickshaw,55,27,Male,1,0,0,0,0.544,21,18,1
Two-Wheeler,41,8,Male,1,1,0,0,0.099,23,13,2
Tractor,45,3,Male,1,0,0,1,0.199,1,2,1
Truck/HCV,54,25,Male,1,1,0,1,0.221,19,14,0
Truck/HCV,36,18,Female,1,1,0,0,0.555,18,26,0
Truck/HCV,50,32,Male,1,0,1,0,0.304,5,4,0
Two-Wheeler,26,8,Male,1,0,0,0,0.307,12,28,1
Two-Wheeler,54,13,Male,1,1,0,1,0.285,4,29,0
Truck/HCV,48,16,Male,1,0,0,0,0.269,14,15,1
Auto-Rickshaw,37,19,Male,1,0,0,0,0.175,12,26,1
Car/SUV,56,14,Male,0,0,0,1,0.321,8,21,0
E-Rickshaw,48,4,Male,0,1,0,1,0.351,2,13,1
Bus,49,11,Male,1,1,0,0,0.209,17,17,0
Two-Wheeler,47,9,Male,1,1,0,1,0.398,22,34,2
E-Rickshaw,63,18,Male,1,1,1,0,0.304,18,1,0
Auto-Rickshaw,20,2,Male,0,1,0,1,0.188,3,27,1
E-Rickshaw,42,24,Male,0,0,0,0,0.366,3,8,0
Tractor,56,23,Male,0,0,0,0,0.161,21,36,0
Auto-Rickshaw,36,18,Male,1,1,0,0,0.247,13,21,0
Two-Wheeler,28,10,Male,1,1,0,0,0.206,14,29,0
Auto-Rickshaw,42,24,Male,1,1,0,0,0.108,16,5,1
Two-Wheeler,24,4,Female,1,0,0,0,0.135,3,33,0
Auto-Rickshaw,39,12,Male,0,0,0,1,0.209,9,14,2
Two-Wheeler,32,7,Male,1,1,1,0,0.378,1,13,0
Car/SUV,31,13,Male,0,1,0,0,0.103,19,35,1
Auto-Rickshaw,58,23,Male,1,1,0,1,0.163,2,23,0
Car/SUV,31,2,Male,0,1,0,1,0.104,20,35,0
Car/SUV,55,34,Male,0,0,0,1,0.717,3,31,1
Truck/HCV,52,4,Male,1,1,0,0,0.209,20,14,0
Auto-Rickshaw,29,1,Male,1,0,1,1,0.128,21,18,3
E-Rickshaw,38,20,Male,1,1,0,0,0.373,7,31,0
Two-Wheeler,23,5,Male,1,1,0,1,0.268,21,35,1
Car/SUV,46,28,Male,1,1,0,1,0.756,22,6,0
Car/SUV,30,8,Female,0,0,0,0,0.388,6,19,2
E-Rickshaw,50,8,Male,1,0,0,1,0.343,13,7,1
Truck/HCV,30,12,Male,0,1,0,0,0.2,25,36,1
Truck/HCV,33,15,Male,1,1,0,0,0.496,16,21,0
Truck/HCV,29,5,Male,1,1,0,0,0.347,10,9,2
Auto-Rickshaw,36,0,Male,0,0,1,0,0.057,8,8,0
Tractor,42,24,Male,1,0,0,0,0.247,7,27,0
Two-Wheeler,20,2,Male,1,0,0,0,0.539,6,22,1
Tractor,56,27,Female,1,0,0,1,0.327,11,24,3
Tempo,35,1,Male,1,1,1,0,0.604,0,5,0
Car/SUV,37,19,Female,0,1,0,0,0.356,20,19,0
Truck/HCV,21,3,Male,0,0,0,0,0.649,19,20,0
Bus,28,10,Male,1,1,0,0,0.385,25,10,1
Tempo,52,7,Male,0,0,0,0,0.245,5,3,0
Car/SUV,50,5,Female,1,1,0,0,0.315,17,3,0
Car/SUV,21,3,Male,1,0,0,0,0.508,21,4,0
Truck/HCV,49,12,Female,1,0,0,0,0.696,0,24,1
Tractor,22,4,Male,1,1,1,0,0.337,22,32,2
E-Rickshaw,44,17,Male,1,0,1,0,0.194,13,2,0
E-Rickshaw,46,23,Male,1,0,0,0,0.385,17,35,1
Two-Wheeler,59,12,Male,1,1,0,0,0.142,22,21,0
Tempo,23,5,Male,1,1,1,0,0.509,24,27,2
Car/SUV,30,12,Male,1,1,0,0,0.062,15,33,1
Auto-Rickshaw,55,20,Male,0,1,0,1,0.645,13,30,2
Bus,42,2,Male,1,0,0,1,0.171,2,10,0
Truck/HCV,28,10,Male,0,0,0,0,0.288,10,1,1
Bus,34,16,Female,0,0,0,0,0.192,22,24,2
Tempo,19,1,Female,1,0,0,0,0.386,23,20,0
Two-Wheeler,37,19,Male,1,1,0,0,0.222,23,32,2
Bus,41,18,Male,0,1,0,0,0.693,13,13,0
Two-Wheeler,21,3,Male,1,1,0,0,0.305,2,9,0
Bus,49,4,Male,1,1,1,1,0.179,20,30,0
Tractor,55,1,Male,1,0,0,0,0.175,19,11,2
Tempo,36,11,Female,1,0,0,1,0.186,15,35,0
Tempo,43,5,Male,1,1,0,0,0.108,15,25,0
Truck/HCV,60,4,Male,1,1,0,0,0.164,7,28,0
Auto-Rickshaw,28,10,Female,1,0,1,0,0.056,5,26,0
E-Rickshaw,43,25,Male,1,1,0,0,0.488,0,10,0
Two-Wheeler,52,1,Male,1,1,0,0,0.141,15,25,0
Auto-Rickshaw,21,3,Male,1,1,0,0,0.344,0,2,0
Car/SUV,56,15,Male,1,1,0,1,0.185,2,4,1
Truck/HCV,23,5,Male,1,1,0,0,0.162,9,24,0
Tempo,24,6,Male,0,1,0,1,0.41,16,25,1
Tempo,30,12,Female,1,1,1,1,0.233,21,36,1
E-Rickshaw,31,13,Male,1,1,0,0,0.092,15,12,0
Two-Wheeler,29,11,Male,1,0,1,1,0.158,5,3,0
Two-Wheeler,35,14,Male,1,1,0,0,0.235,5,11,0
Tractor,33,15,Male,1,1,0,0,0.313,13,34,0
Two-Wheeler,42,24,Female,1,1,0,0,0.129,16,3,0
Tempo,55,6,Male,0,1,0,0,0.585,12,30,0
E-Rickshaw,40,12,Male,1,0,0,0,0.072,5,22,0
Auto-Rickshaw,64,23,Female,0,0,0,0,0.246,1,1,2
Bus,26,8,Female,1,0,0,0,0.237,15,3,0
Tractor,63,0,Male,1,0,0,1,0.115,18,18,2
Auto-Rickshaw,25,7,Male,1,0,1,0,0.148,21,34,0
Car/SUV,25,7,Male,0,1,0,0,0.128,7,11,1
Tempo,53,18,Female,1,1,1,0,0.246,23,6,0
Tempo,50,32,Female,0,1,0,0,0.174,6,4,0
Bus,39,7,Female,0,1,0,0,0.382,25,10,0
Truck/HCV,30,9,Male,1,0,0,1,0.227,18,14,1
Bus,56,25,Male,0,1,0,0,0.749,19,18,1
Bus,57,25,Female,0,1,0,0,0.088,21,32,0
Tractor,36,1,Female,0,0,1,1,0.147,20,26,0
Tractor,56,4,Male,1,0,1,0,0.176,5,18,0
Auto-Rickshaw,57,8,Male,1,0,1,0,0.143,13,33,0
Two-Wheeler,51,1,Male,1,1,1,0,0.414,6,1,0
Auto-Rickshaw,22,4,Male,1,1,1,1,0.319,21,8,0
Bus,39,5,Male,1,0,0,1,0.129,23,30,0
Two-Wheeler,22,4,Male,0,1,0,0,0.432,11,17,1
Two-Wheeler,19,1,Male,1,0,0,0,0.331,9,30,0
Truck/HCV,26,8,Male,1,0,0,0,0.343,7,26,1
Bus,53,14,Male,1,1,0,0,0.229,17,14,1
Two-Wheeler,64,10,Male,1,1,0,0,0.037,20,15,0
Truck/HCV,23,5,Male,1,1,0,1,0.198,25,11,0
E-Rickshaw,20,2,Male,0,1,0,0,0.211,10,27,0
Auto-Rickshaw,34,16,Male,1,0,0,0,0.262,18,21,0
E-Rickshaw,51,23,Male,1,0,0,0,0.357,19,25,2
Tractor,34,16,Male,1,0,0,0,0.332,11,23,0
Auto-Rickshaw,47,3,Male,0,1,0,1,0.032,16,15,0
Tempo,47,17,Male,1,1,0,0,0.434,3,19,0
Auto-Rickshaw,44,1,Female,1,0,0,1,0.366,12,2,1
Bus,37,19,Female,0,1,0,0,0.122,9,14,0
Tempo,47,29,Male,1,1,1,0,0.297,17,22,0
E-Rickshaw,37,13,Male,1,1,0,1,0.335,9,33,0
E-Rickshaw,40,22,Male,1,1,0,0,0.354,24,18,1
Two-Wheeler,18,0,Male,1,1,0,1,0.159,8,22,0
Bus,25,7,Male,1,0,0,1,0.418,7,2,0
Tractor,43,25,Female,1,0,0,0,0.489,22,9,1
Truck/HCV,58,31,Male,1,0,0,0,0.3,23,2,3
Tempo,59,18,Male,1,1,1,0,0.225,4,13,2
Two-Wheeler,21,3,Male,1,1,1,0,0.355,13,26,1
Truck/HCV,50,18,Male,1,0,0,0,0.539,20,2,1
Bus,20,2,Male,0,0,0,0,0.034,25,28,1
E-Rickshaw,64,10,Male,1,1,0,0,0.087,12,26,0
Auto-Rickshaw,52,27,Male,1,1,1,1,0.185,25,13,0
Two-Wheeler,26,8,Other,0,0,0,0,0.248,3,8,1
Truck/HCV,20,2,Male,1,1,0,0,0.274,16,31,1
Car/SUV,53,31,Female,0,1,0,0,0.395,14,31,0
Bus,54,0,Female,1,0,1,0,0.046,20,28,0
E-Rickshaw,53,3,Male,1,0,0,0,0.19,21,13,0
E-Rickshaw,39,8,Male,1,1,0,0,0.163,0,8,3
Auto-Rickshaw,65,18,Female,1,1,0,0,0.265,8,21,0
Two-Wheeler,24,2,Male,1,0,0,1,0.371,25,4,1
Bus,46,28,Male,0,0,1,0,0.325,4,10,0
Tractor,25,7,Male,1,1,0,0,0.542,21,30,3
Tractor,25,4,Male,0,1,0,1,0.283,12,18,0
Tractor,46,24,Male,1,0,0,0,0.114,6,24,1
Truck/HCV,28,10,Male,1,1,0,0,0.09,17,1,0
E-Rickshaw,54,26,Female,1,0,0,1,0.614,6,5,1
Bus,40,22,Female,1,0,0,1,0.216,8,15,1
Two-Wheeler,48,11,Female,0,0,0,0,0.247,22,31,0
Auto-Rickshaw,20,2,Female,1,0,1,0,0.099,1,18,1
E-Rickshaw,32,12,Male,0,1,0,0,0.481,8,8,0
Truck/HCV,22,4,Male,1,0,0,0,0.508,21,16,1
Truck/HCV,24,6,Male,1,1,0,0,0.026,24,1,1
Tempo,25,7,Male,1,0,0,0,0.111,14,0,1
E-Rickshaw,29,5,Male,0,0,0,1,0.201,21,14,1
Car/SUV,56,31,Male,1,1,0,0,0.304,2,31,0
Car/SUV,31,13,Male,1,1,1,1,0.484,7,11,0
Truck/HCV,59,22,Male,1,1,0,1,0.089,14,20,0
Auto-Rickshaw,37,4,Male,1,0,0,0,0.557,15,32,1
Truck/HCV,23,5,Female,1,1,0,1,0.095,25,20,0
Auto-Rickshaw,63,17,Male,1,0,0,0,0.393,1,33,1
Tempo,59,27,Female,1,0,0,0,0.347,14,18,0
E-Rickshaw,60,35,Male,1,1,0,1,0.252,1,19,1
Two-Wheeler,22,4,Male,1,1,0,0,0.105,18,5,3
Truck/HCV,63,5,Female,1,1,0,0,0.18,12,7,0
E-Rickshaw,64,15,Male,1,1,0,1,0.16,3,12,3
Tempo,56,22,Male,1,0,0,0,0.271,9,16,0
Auto-Rickshaw,64,26,Male,1,1,0,1,0.093,19,26,1
E-Rickshaw,36,8,Female,1,1,0,0,0.065,11,33,0
E-Rickshaw,65,1,Male,0,1,0,0,0.254,7,18,1
Truck/HCV,49,31,Female,1,1,0,1,0.433,15,29,0
Truck/HCV,29,9,Male,1,0,0,0,0.262,4,13,0
Two-Wheeler,33,15,Female,1,1,0,0,0.168,24,16,0
Truck/HCV,54,32,Male,1,0,0,0,0.228,6,26,1
Two-Wheeler,40,22,Male,1,1,0,0,0.765,11,11,0
Two-Wheeler,54,33,Female,1,0,0,0,0.038,18,22,0
Two-Wheeler,51,14,Male,1,1,0,0,0.137,18,0,1
Car/SUV,27,3,Male,1,1,1,0,0.158,22,15,0
Tractor,64,24,Male,1,1,0,0,0.229,22,29,1
Two-Wheeler,49,31,Female,1,0,0,0,0.119,8,10,0
Bus,27,9,Male,1,1,0,0,0.221,25,5,0
Tractor,37,9,Male,1,1,0,0,0.366,2,2,0
Two-Wheeler,60,13,Female,0,0,0,0,0.369,7,14,0
Tractor,47,18,Male,0,1,0,0,0.049,11,34,2
Truck/HCV,58,33,Male,1,0,0,0,0.07,11,29,1
Tempo,44,18,Male,1,0,0,0,0.223,11,26,0
E-Rickshaw,45,15,Male,0,0,0,0,0.232,17,15,1
Bus,22,4,Female,1,1,0,0,0.204,14,10,0
Car/SUV,33,15,Male,1,0,0,0,0.12,6,19,0
Two-Wheeler,19,1,Male,1,1,0,1,0.42,23,30,1
Truck/HCV,23,5,Male,1,1,0,0,0.371,14,20,0
Bus,62,22,Male,1,0,0,1,0.358,16,15,1
Car/SUV,54,30,Female,1,0,1,0,0.664,15,7,2
Tractor,49,11,Female,1,1,0,0,0.691,11,17,1
Tempo,18,0,Male,1,1,0,0,0.338,17,12,1
Car/SUV,64,3,Male,1,0,1,1,0.277,8,14,1
Bus,45,23,Male,0,0,0,0,0.471,1,13,0
E-Rickshaw,63,31,Female,1,1,0,0,0.277,4,14,2
Two-Wheeler,28,10,Female,0,0,0,0,0.087,6,9,0
Auto-Rickshaw,57,12,Male,1,1,0,1,0.422,15,1,1
Two-Wheeler,20,2,Male,1,1,0,0,0.32,11,36,0
Bus,33,0,Female,1,0,0,1,0.413,12,8,0
Tempo,29,11,Male,1,1,0,0,0.101,19,22,0
Truck/HCV,23,3,Female,1,0,0,1,0.161,7,14,0
E-Rickshaw,60,13,Male,1,1,1,1,0.397,4,19,0
Car/SUV,51,0,Male,0,0,0,0,0.121,4,11,0
Tempo,59,3,Male,0,0,0,0,0.148,24,15,2
Tempo,35,8,Female,1,0,0,0,0.03,22,15,1
Two-Wheeler,23,5,Male,1,1,1,0,0.425,7,11,0
Tempo,65,31,Male,1,0,0,0,0.08,11,30,1
Two-Wheeler,40,11,Female,0,1,0,0,0.203,10,11,3
E-Rickshaw,64,15,Female,1,1,0,1,0.109,5,8,1
Auto-Rickshaw,25,7,Male,1,0,1,0,0.161,13,18,0
Truck/HCV,63,35,Female,0,1,0,0,0.181,2,36,1
Truck/HCV,53,10,Male,1,1,1,1,0.182,6,10,0
Truck/HCV,29,11,Female,1,1,0,1,0.079,7,35,0
Bus,61,21,Male,1,0,0,0,0.671,14,36,0
Two-Wheeler,30,3,Male,1,1,0,0,0.052,1,17,1
Tempo,62,8,Male,1,0,0,0,0.294,10,2,0
Auto-Rickshaw,52,29,Female,1,1,0,0,0.533,25,6,2
Truck/HCV,40,18,Male,1,0,1,0,0.273,25,20,1
Bus,24,6,Male,0,0,1,0,0.256,19,27,0
Two-Wheeler,64,34,Male,1,1,0,0,0.571,15,31,0
Tempo,39,21,Male,0,0,0,0,0.247,18,12,0
E-Rickshaw,35,17,Female,1,1,0,1,0.414,18,11,1
Auto-Rickshaw,58,32,Male,0,0,0,0,0.226,17,21,2
E-Rickshaw,20,2,Female,1,0,0,0,0.189,22,24,1
Bus,51,1,Male,1,1,0,0,0.452,11,33,0
Bus,60,23,Male,0,0,0,0,0.212,21,6,0
Tractor,24,6,Female,1,1,1,0,0.085,6,13,1
Bus,45,11,Female,0,1,0,0,0.313,5,23,0
Tempo,32,2,Male,0,1,0,0,0.283,2,22,1
Truck/HCV,32,14,Male,0,1,0,1,0.119,16,9,0
Two-Wheeler,31,13,Male,1,1,0,0,0.332,21,21,1
Bus,37,12,Male,1,0,0,1,0.371,7,7,1
Bus,18,0,Male,1,1,0,0,0.284,3,2,0
Bus,26,0,Male,1,1,0,0,0.417,8,11,1
Two-Wheeler,30,12,Male,0,1,0,0,0.304,19,2,2
Tractor,55,19,Male,1,0,0,0,0.258,3,13,0
E-Rickshaw,45,27,Male,1,0,1,1,0.066,8,35,0
Tractor,62,3,Male,1,0,0,1,0.443,14,12,0
Tractor,27,9,Male,1,1,0,0,0.147,19,10,0
Truck/HCV,48,16,Male,1,1,0,0,0.087,0,3,0
Two-Wheeler,62,7,Male,1,1,0,1,0.49,20,18,0
Car/SUV,53,17,Male,1,1,0,0,0.287,19,1,0
Car/SUV,51,29,Male,1,0,0,0,0.22,5,6,0
Truck/HCV,40,22,Male,0,0,0,0,0.655,6,9,0
Auto-Rickshaw,60,18,Male,1,0,0,1,0.48,6,23,1
E-Rickshaw,34,13,Male,0,1,0,1,0.24,20,10,0
Two-Wheeler,38,20,Male,0,1,1,0,0.267,23,11,1
Tempo,26,8,Male,1,0,0,0,0.531,12,18,0
E-Rickshaw,25,7,Male,1,0,0,0,0.206,8,27,0
Tractor,65,9,Male,1,0,0,0,0.183,6,14,0
Tractor,62,5,Male,1,0,0,0,0.131,16,28,0
Auto-Rickshaw,35,17,Male,0,0,0,0,0.17,25,15,2
Two-Wheeler,25,7,Male,1,0,0,0,0.079,14,10,0
Tempo,26,8,Male,1,0,1,1,0.357,19,29,0
Tractor,31,11,Male,0,1,0,1,0.405,3,21,0
Car/SUV,43,25,Female,0,0,0,0,0.447,11,26,0
Truck/HCV,62,31,Male,1,0,0,0,0.055,17,10,1
Car/SUV,26,8,Male,1,0,0,0,0.539,1,5,0
Bus,50,26,Male,0,1,0,1,0.329,20,8,0
Tractor,33,15,Male,1,1,0,0,0.128,13,4,2
Two-Wheeler,35,17,Male,1,1,0,1,0.301,21,31,1
Truck/HCV,48,25,Male,1,0,0,0,0.04,14,2,1
E-Rickshaw,52,4,Male,1,1,0,0,0.232,15,9,1
E-Rickshaw,42,15,Male,1,0,0,0,0.083,22,13,1
Bus,43,1,Male,0,1,0,0,0.738,23,26,0
Car/SUV,44,9,Male,1,0,0,1,0.356,10,4,3
Truck/HCV,46,15,Male,1,1,0,1,0.228,18,35,0
Two-Wheeler,45,7,Male,1,1,0,1,0.242,3,21,1
Tempo,39,21,Male,1,1,0,0,0.338,17,28,0
Truck/HCV,30,12,Male,1,0,0,1,0.068,2,21,0
Tempo,63,1,Male,1,0,1,0,0.095,7,11,0
Truck/HCV,35,5,Male,1,0,1,1,0.202,12,25,3
Auto-Rickshaw,25,7,Male,1,0,0,0,0.069,22,33,0
Bus,19,1,Male,1,1,1,0,0.02,9,7,0
Two-Wheeler,53,22,Male,1,1,0,0,0.194,15,31,0
E-Rickshaw,53,12,Male,0,1,0,1,0.271,22,14,0
Two-Wheeler,54,3,Female,1,0,0,0,0.34,13,7,1
Tempo,56,0,Male,1,1,0,0,0.249,2,2,0
Truck/HCV,29,11,Male,1,1,0,0,0.126,3,22,0
Truck/HCV,34,16,Male,1,0,0,0,0.299,11,34,1
Bus,45,5,Female,1,1,0,0,0.288,6,14,2
Bus,24,6,Female,1,0,0,0,0.28,11,18,0
Tractor,35,9,Male,1,1,0,0,0.561,3,5,0
E-Rickshaw,61,18,Male,1,1,0,0,0.36,25,1,0
Auto-Rickshaw,18,0,Male,1,1,0,0,0.365,4,8,1
Tempo,58,30,Male,1,1,1,0,0.112,6,6,0
Auto-Rickshaw,42,24,Male,1,0,0,1,0.741,4,16,1
Truck/HCV,42,5,Male,1,1,0,0,0.161,0,8,1
Car/SUV,40,2,Male,0,1,1,0,0.028,17,17,0
Car/SUV,50,17,Male,0,0,0,0,0.409,1,22,1
Auto-Rickshaw,45,9,Male,1,0,0,0,0.209,25,36,1
Truck/HCV,42,14,Male,1,0,0,1,0.169,11,4,1
Tractor,25,6,Female,1,1,0,0,0.067,13,25,1
Tractor,51,24,Male,1,0,1,0,0.176,4,13,0
Auto-Rickshaw,23,5,Male,1,0,0,1,0.209,24,29,2
Two-Wheeler,35,6,Male,0,0,0,1,0.171,17,1,0
Bus,39,1,Female,1,1,0,1,0.197,0,15,1
Car/SUV,34,1,Female,1,0,1,0,0.076,12,7,3
Car/SUV,27,9,Male,1,1,0,1,0.325,10,0,0
Truck/HCV,58,33,Male,1,0,0,0,0.385,2,14,2
Truck/HCV,31,13,Male,0,1,0,0,0.103,3,11,0
E-Rickshaw,39,17,Male,0,1,1,0,0.249,19,21,0
Truck/HCV,30,12,Male,0,1,0,0,0.251,24,33,1
E-Rickshaw,52,8,Male,0,1,1,1,0.246,15,1,1
Tractor,58,33,Female,0,1,0,1,0.07,14,28,1
Truck/HCV,26,8,Female,1,1,0,0,0.362,3,19,0
Bus,32,14,Male,0,0,0,0,0.278,10,17,0
Tractor,33,15,Female,0,0,1,1,0.205,19,3,1
E-Rickshaw,44,5,Male,1,1,0,0,0.155,24,22,0
Two-Wheeler,56,17,Male,0,0,0,0,0.199,19,6,0
Bus,46,8,Male,1,1,0,0,0.346,5,3,1
Car/SUV,56,32,Male,0,1,0,0,0.126,7,31,0
Auto-Rickshaw,53,6,Male,1,1,0,0,0.213,15,5,1
Auto-Rickshaw,54,0,Male,1,1,0,0,0.343,22,19,2
Car/SUV,19,1,Male,1,1,0,1,0.028,11,32,0
Tractor,51,23,Male,0,1,0,1,0.397,24,7,0
Two-Wheeler,42,10,Female,1,1,0,1,0.475,8,25,0
E-Rickshaw,63,15,Other,0,1,1,1,0.317,18,33,3
Tempo,55,19,Female,1,1,0,0,0.228,5,28,0
Tempo,54,32,Male,1,0,0,1,0.368,17,26,1
Truck/HCV,63,25,Female,1,1,0,0,0.162,17,11,0
Tempo,29,11,Male,1,1,0,0,0.227,16,35,0
Car/SUV,36,14,Male,1,1,0,0,0.157,7,30,1
Truck/HCV,22,4,Male,1,1,1,0,0.135,23,33,1
Two-Wheeler,65,1,Male,0,1,0,0,0.124,10,6,2
Bus,54,30,Male,1,0,0,0,0.232,11,1,3
Two-Wheeler,47,20,Male,1,1,0,0,0.09,0,31,0
Bus,20,2,Male,0,0,0,1,0.225,19,15,0
Auto-Rickshaw,54,28,Male,1,1,0,1,0.414,6,17,0
Truck/HCV,41,13,Male,1,0,1,0,0.148,25,16,0
Tempo,52,29,Male,0,0,0,0,0.486,17,26,1
Car/SUV,56,0,Male,1,1,0,1,0.24,6,1,0
Bus,48,10,Male,1,0,0,0,0.04,15,12,2
Tempo,34,16,Male,1,1,0,1,0.446,16,21,0
