state,year,month,rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,fog_hours,road_waterlogging,pothole_index,accidents_that_day
Punjab,2024,11,0.52,10.6,96.5,28.5,5.7,0,0.263,38
Odisha,2023,4,1.45,25.8,39.2,9.6,0.0,0,0.158,4
West Bengal,2024,8,1.56,8.8,33.4,12.2,0.0,0,0.422,12
Maharashtra,2019,3,22.09,27.7,42.9,8.1,0.0,0,0.225,28
West Bengal,2022,12,5.71,21.7,36.0,23.8,1.2,0,0.445,30
Uttar Pradesh,2024,1,6.13,23.9,93.5,26.0,0.5,0,0.316,30
Maharashtra,2024,4,5.91,19.0,79.2,11.8,0.0,0,0.237,42
Tamil Nadu,2020,3,0.66,30.1,93.6,25.2,0.0,0,0.257,41
Rajasthan,2022,11,1.68,8.8,22.3,30.0,0.6,0,0.159,25
Telangana,2020,7,2.19,34.3,20.6,7.4,0.0,0,0.088,9
Uttar Pradesh,2023,7,2.25,42.9,76.1,4.4,0.0,0,0.323,0
Rajasthan,2020,11,0.15,35.2,72.7,10.3,0.6,0,0.235,32
Tamil Nadu,2019,10,1.76,38.6,82.4,30.3,0.0,0,0.1,16
Bihar,2019,11,2.89,8.2,51.0,22.5,0.8,0,0.42,38
Tamil Nadu,2021,2,8.57,45.3,21.3,40.0,1.8,0,0.711,40
Punjab,2024,7,1.64,36.9,79.7,6.8,0.0,0,0.275,15
Punjab,2022,12,2.72,26.2,83.0,6.8,0.5,0,0.1,38
Uttar Pradesh,2023,9,2.96,14.4,78.7,22.3,0.0,0,0.164,25
Karnataka,2019,9,5.24,44.7,94.8,1.2,0.0,0,0.479,17
Gujarat,2019,7,3.47,9.0,54.7,7.4,0.0,0,0.435,37
Bihar,2022,11,3.09,14.6,21.5,6.8,3.8,0,0.217,21
Tamil Nadu,2022,1,0.78,37.1,25.1,0.5,2.7,0,0.208,26
Punjab,2023,4,1.65,28.0,93.7,31.9,0.0,0,0.374,10
Odisha,2021,3,3.33,40.3,36.1,31.7,0.0,0,0.189,18
Uttar Pradesh,2024,7,9.69,23.2,37.2,18.4,0.0,0,0.228,34
Haryana,2020,7,14.37,23.7,96.1,49.3,0.0,0,0.431,31
West Bengal,2019,6,2.2,30.6,62.6,18.7,0.0,0,0.05,21
Haryana,2024,12,1.85,15.3,94.3,15.9,1.1,0,0.196,0
Rajasthan,2019,10,5.07,39.0,74.5,25.5,0.0,0,0.187,27
Maharashtra,2022,7,24.91,33.7,33.4,15.3,0.0,0,0.472,6
Odisha,2024,5,17.63,9.8,80.0,34.8,0.0,0,0.378,36
West Bengal,2021,11,8.7,20.0,33.3,7.0,0.3,0,0.525,33
Gujarat,2023,4,8.55,40.1,45.0,18.1,0.0,0,0.304,31
Maharashtra,2020,11,2.89,38.1,39.0,16.4,3.4,0,0.456,6
Madhya Pradesh,2022,12,40.06,32.1,21.1,30.9,0.9,1,0.461,4
Kerala,2020,10,5.2,14.5,93.9,2.2,0.0,0,0.258,30
Odisha,2021,2,8.81,30.2,83.2,3.8,0.4,0,0.316,20
Punjab,2022,5,4.18,39.8,74.6,36.6,0.0,0,0.108,29
Madhya Pradesh,2021,10,13.18,34.8,66.2,29.1,0.0,0,0.486,39
Madhya Pradesh,2021,8,3.15,31.3,46.4,18.8,0.0,0,0.429,8
Madhya Pradesh,2021,6,6.35,42.4,33.5,11.6,0.0,0,0.308,17
Haryana,2022,8,2.29,38.2,92.9,36.3,0.0,0,0.177,39
Uttar Pradesh,2021,9,5.78,29.6,45.4,28.1,0.0,0,0.407,5
Bihar,2019,5,3.18,29.3,89.4,25.5,0.0,0,0.527,13
Assam,2024,4,4.03,28.8,38.6,9.8,0.0,0,0.269,29
Punjab,2023,6,14.04,41.0,68.3,32.7,0.0,0,0.514,45
Rajasthan,2023,10,32.41,23.7,81.3,19.8,0.0,1,0.262,35
Bihar,2024,10,7.41,29.1,53.3,17.0,0.0,0,0.408,27
Assam,2024,7,2.68,17.4,41.8,19.0,0.0,0,0.128,4
Assam,2023,11,0.6,36.1,60.1,11.2,0.6,0,0.386,27
Rajasthan,2022,7,18.43,15.9,87.7,6.0,0.0,0,0.419,12
Haryana,2020,2,1.0,20.9,45.0,10.9,2.2,0,0.382,18
Rajasthan,2019,9,2.88,15.0,95.2,20.2,0.0,0,0.12,21
Uttar Pradesh,2020,3,3.24,24.0,26.9,23.8,0.0,0,0.244,16
Haryana,2024,7,0.4,33.3,92.5,10.7,0.0,0,0.282,26
West Bengal,2021,4,0.64,43.3,96.7,10.8,0.0,0,0.357,29
Bihar,2022,2,3.09,31.1,46.6,5.1,0.1,0,0.042,21
West Bengal,2022,12,2.3,41.0,90.9,15.3,0.5,0,0.889,30
Madhya Pradesh,2022,9,0.11,13.9,23.3,22.2,0.0,0,0.128,15
Tamil Nadu,2024,3,1.94,36.8,60.2,14.8,0.0,0,0.303,11
Madhya Pradesh,2024,4,3.07,35.8,24.2,21.7,0.0,0,0.386,11
Rajasthan,2019,2,4.67,39.1,89.8,10.7,2.0,0,0.121,12
Rajasthan,2023,6,9.3,18.9,36.9,20.0,0.0,0,0.212,19
Karnataka,2022,9,15.48,40.1,87.9,11.3,0.0,0,0.334,13
Haryana,2021,10,1.32,27.5,21.1,3.7,0.0,0,0.119,14
Assam,2020,10,0.95,39.1,74.5,7.8,0.0,0,0.311,25
Punjab,2022,6,14.85,20.8,39.8,8.5,0.0,0,0.234,28
Rajasthan,2020,10,4.93,9.3,33.7,19.6,0.0,0,0.423,24
Odisha,2020,8,14.45,33.4,51.2,19.4,0.0,0,0.173,17
Kerala,2020,9,7.93,28.5,49.2,9.4,0.0,0,0.33,30
Karnataka,2020,9,9.44,10.0,58.9,13.8,0.0,0,0.611,10
Uttar Pradesh,2024,6,7.45,18.7,26.4,14.3,0.0,0,0.239,11
Odisha,2020,8,12.35,12.6,22.3,0.9,0.0,0,0.134,22
West Bengal,2023,9,14.05,44.5,48.0,20.7,0.0,0,0.463,24
West Bengal,2024,12,1.45,15.3,36.9,28.9,0.1,0,0.119,36
Punjab,2022,7,14.2,32.2,79.7,39.2,0.0,0,0.194,3
Punjab,2019,3,5.2,23.7,92.6,12.5,0.0,0,0.37,29
Rajasthan,2021,4,6.01,42.3,70.2,20.4,0.0,0,0.487,1
Madhya Pradesh,2022,5,37.26,36.5,21.4,13.5,0.0,1,0.596,31
Haryana,2022,2,2.41,32.6,49.0,11.3,1.1,0,0.197,44
Uttar Pradesh,2022,8,4.49,36.4,81.8,23.6,0.0,0,0.34,35
Gujarat,2021,8,8.29,35.4,52.0,11.8,0.0,0,0.473,43
Rajasthan,2022,7,0.87,44.6,60.2,32.0,0.0,0,0.437,11
Madhya Pradesh,2024,6,17.71,33.5,21.7,57.0,0.0,0,0.371,32
Bihar,2023,1,27.8,22.6,74.1,22.8,1.3,1,0.628,33
Rajasthan,2019,1,58.03,39.6,41.7,9.4,1.2,1,0.492,31
Tamil Nadu,2024,6,13.34,11.1,56.8,16.8,0.0,0,0.373,2
Telangana,2019,9,1.84,35.5,32.3,27.6,0.0,0,0.531,41
West Bengal,2023,5,4.73,40.1,57.0,13.6,0.0,0,0.13,7
Punjab,2024,10,10.38,17.9,78.6,28.6,0.0,0,0.175,15
Punjab,2024,7,4.91,23.3,65.8,11.4,0.0,0,0.33,8
Uttar Pradesh,2021,3,2.76,34.5,40.4,34.0,0.0,0,0.533,28
Kerala,2019,9,8.49,39.2,85.7,37.0,0.0,0,0.489,9
Punjab,2023,9,1.97,10.3,56.2,23.2,0.0,0,0.583,4
Tamil Nadu,2023,8,12.25,11.3,94.3,23.8,0.0,0,0.481,13
Punjab,2022,4,27.1,35.0,74.7,23.8,0.0,1,0.423,44
Telangana,2023,2,5.03,8.3,91.1,19.5,2.4,0,0.194,5
Tamil Nadu,2022,12,0.22,27.3,25.1,20.6,0.1,0,0.206,35
Kerala,2021,11,1.77,30.5,58.9,20.3,0.2,0,0.423,31
Rajasthan,2023,3,17.21,18.1,32.3,14.7,0.0,0,0.366,18
Uttar Pradesh,2019,1,2.99,10.0,40.1,19.7,2.2,0,0.263,14
Telangana,2019,1,5.36,20.8,96.5,26.2,2.3,0,0.227,42
Gujarat,2022,12,9.24,18.3,96.2,15.7,3.2,0,0.443,32
Karnataka,2023,7,1.73,19.3,67.6,39.5,0.0,0,0.153,25
Gujarat,2020,8,8.2,40.7,43.1,20.5,0.0,0,0.266,11
Assam,2021,4,4.87,24.3,88.3,26.8,0.0,0,0.466,32
Assam,2021,4,2.15,10.5,89.6,7.9,0.0,0,0.288,22
Assam,2023,5,3.65,20.5,71.8,15.7,0.0,0,0.161,17
Gujarat,2021,5,2.89,37.7,87.2,27.4,0.0,0,0.271,28
West Bengal,2020,2,1.06,8.1,31.2,14.6,1.3,0,0.036,25
Haryana,2019,1,4.78,45.7,84.1,10.7,2.1,0,0.122,16
Uttar Pradesh,2022,6,5.12,23.7,90.8,13.3,0.0,0,0.504,21
Punjab,2022,6,20.73,8.3,89.8,11.2,0.0,0,0.212,4
Punjab,2019,2,5.14,22.8,64.8,1.2,4.5,0,0.227,19
Rajasthan,2022,10,4.61,19.4,91.0,17.1,0.0,0,0.281,11
Kerala,2019,3,14.0,45.6,68.4,11.5,0.0,0,0.377,33
Uttar Pradesh,2023,1,1.62,11.5,65.1,22.2,0.4,0,0.251,29
Haryana,2019,4,12.49,13.1,25.7,30.6,0.0,0,0.369,18
Maharashtra,2024,5,7.25,9.5,67.7,30.2,0.0,0,0.192,5
Haryana,2020,2,0.92,34.3,23.0,21.5,1.7,0,0.135,3
Telangana,2019,11,2.55,39.1,89.5,12.7,0.8,0,0.489,34
Kerala,2021,7,13.27,32.1,27.6,12.9,0.0,0,0.313,31
Madhya Pradesh,2021,11,1.09,26.4,56.7,35.2,1.6,0,0.033,9
Tamil Nadu,2021,3,0.32,34.2,76.2,29.4,0.0,0,0.521,34
Karnataka,2020,3,39.55,19.8,88.6,19.0,0.0,1,0.283,21
Madhya Pradesh,2020,1,11.64,13.7,39.3,5.1,6.7,0,0.313,15
Telangana,2019,4,1.59,21.7,63.4,6.7,0.0,0,0.072,15
Bihar,2023,6,8.3,32.1,95.7,25.9,0.0,0,0.372,22
Tamil Nadu,2021,3,0.61,10.2,61.1,33.6,0.0,0,0.097,34
Telangana,2021,4,3.47,40.5,52.4,3.8,0.0,0,0.326,14
Assam,2024,8,9.79,41.1,39.8,19.3,0.0,0,0.116,12
Kerala,2020,3,1.01,34.7,88.9,21.8,0.0,0,0.365,14
Odisha,2021,8,26.95,29.8,83.8,16.5,0.0,1,0.7,44
Karnataka,2021,9,21.76,9.5,83.7,29.5,0.0,0,0.359,40
Tamil Nadu,2021,7,4.91,21.7,35.7,5.9,0.0,0,0.256,1
Karnataka,2024,2,5.06,12.1,75.9,13.2,9.7,0,0.156,37
Telangana,2022,1,2.07,11.8,95.1,27.6,0.8,0,0.139,15
Haryana,2021,7,1.44,37.4,22.0,13.4,0.0,0,0.114,21
West Bengal,2024,1,20.44,15.0,33.2,3.6,3.0,0,0.458,30
Telangana,2023,2,1.12,44.7,62.9,11.7,2.7,0,0.447,36
Madhya Pradesh,2023,2,1.46,35.3,24.0,13.8,2.1,0,0.04,1
Punjab,2021,2,2.51,42.0,77.5,11.0,1.1,0,0.388,24
Tamil Nadu,2019,10,2.05,40.0,48.9,12.5,0.0,0,0.294,11
Haryana,2020,7,0.63,41.2,45.5,22.2,0.0,0,0.164,45
West Bengal,2021,8,2.7,42.2,38.7,25.9,0.0,0,0.236,27
West Bengal,2019,9,7.43,44.4,82.2,13.4,0.0,0,0.239,6
Bihar,2021,12,27.98,44.0,36.1,19.8,0.5,1,0.538,25
Kerala,2023,1,13.38,11.0,23.3,5.1,4.6,0,0.487,41
Maharashtra,2022,10,5.99,43.3,50.5,35.3,0.0,0,0.613,0
Uttar Pradesh,2023,5,16.21,32.9,95.4,31.9,0.0,0,0.404,2
Uttar Pradesh,2022,1,9.8,19.1,85.9,0.8,2.2,0,0.283,43
Maharashtra,2020,5,1.01,15.5,45.5,23.6,0.0,0,0.247,37
Uttar Pradesh,2023,3,7.55,37.7,73.4,13.4,0.0,0,0.31,43
Odisha,2024,2,3.15,17.2,30.4,20.6,1.2,0,0.038,41
Rajasthan,2020,4,3.03,28.0,26.9,18.8,0.0,0,0.737,25
Punjab,2021,6,2.79,20.5,47.6,15.6,0.0,0,0.209,18
Assam,2022,9,2.44,13.6,62.7,15.8,0.0,0,0.335,3
Rajasthan,2024,4,2.82,31.6,25.8,37.7,0.0,0,0.228,2
Kerala,2022,11,4.99,33.7,49.0,6.0,0.2,0,0.404,5
West Bengal,2024,3,16.46,20.4,93.8,29.6,0.0,0,0.372,45
Rajasthan,2021,1,5.9,21.7,60.7,31.7,1.5,0,0.229,45
Kerala,2020,5,12.05,42.3,86.7,27.9,0.0,0,0.432,3
Rajasthan,2024,11,3.65,29.0,56.7,28.1,0.9,0,0.55,2
Punjab,2022,8,2.0,40.9,65.9,4.2,0.0,0,0.161,12
Punjab,2021,3,8.24,37.6,40.0,10.5,0.0,0,0.306,30
Madhya Pradesh,2019,4,4.51,15.7,26.4,15.6,0.0,0,0.244,26
Tamil Nadu,2022,6,2.77,45.8,37.3,18.7,0.0,0,0.209,34
West Bengal,2024,6,0.3,18.5,93.5,7.0,0.0,0,0.309,6
Maharashtra,2024,7,5.84,40.3,40.7,21.2,0.0,0,0.255,23
Haryana,2019,3,0.38,31.5,42.3,18.9,0.0,0,0.262,10
Tamil Nadu,2023,12,0.53,26.6,54.6,22.1,2.8,0,0.336,4
Kerala,2022,2,1.24,30.8,22.6,7.4,2.1,0,0.302,24
Karnataka,2020,12,9.72,44.4,69.2,3.9,0.7,0,0.347,6
Punjab,2021,10,1.17,27.6,42.6,6.8,0.0,0,0.162,25
West Bengal,2022,9,0.57,29.8,65.6,42.3,0.0,0,0.593,11
Punjab,2022,6,5.2,24.5,22.0,2.0,0.0,0,0.305,1
Madhya Pradesh,2019,9,6.24,37.5,40.5,36.5,0.0,0,0.551,29
Odisha,2021,5,18.96,15.6,29.1,27.1,0.0,0,0.55,2
Madhya Pradesh,2020,1,11.28,18.2,46.1,14.7,0.9,0,0.356,28
Assam,2021,2,8.4,9.9,63.9,33.0,0.7,0,0.388,25
Odisha,2022,4,3.03,9.8,55.2,18.0,0.0,0,0.133,8
Rajasthan,2020,12,24.59,27.6,75.5,13.7,1.2,0,0.585,28
Telangana,2023,1,23.84,38.8,30.6,24.6,1.3,0,0.418,19
Maharashtra,2020,8,1.07,16.2,80.8,21.6,0.0,0,0.354,28
Punjab,2024,6,28.78,27.4,77.3,2.4,0.0,1,0.678,44
Kerala,2024,6,4.09,23.5,65.4,22.1,0.0,0,0.333,25
Karnataka,2023,3,2.95,33.6,79.0,26.6,0.0,0,0.353,2
Rajasthan,2023,12,1.16,39.6,32.9,27.9,0.4,0,0.23,9
Tamil Nadu,2023,1,35.62,28.6,50.3,3.2,1.0,1,0.323,37
Odisha,2019,9,1.52,14.2,65.8,32.3,0.0,0,0.653,33
Rajasthan,2022,7,0.61,30.0,34.4,22.9,0.0,0,0.241,43
Karnataka,2023,8,0.13,27.8,76.1,23.4,0.0,0,0.332,2
Maharashtra,2022,2,1.37,19.4,67.1,38.4,3.5,0,0.081,5
Odisha,2022,1,7.53,41.9,72.3,9.9,0.2,0,0.292,20
Rajasthan,2020,4,19.84,22.5,71.2,2.8,0.0,0,0.298,9
Odisha,2023,3,1.92,35.3,20.2,35.4,0.0,0,0.176,26
Maharashtra,2023,10,3.72,25.8,69.5,2.5,0.0,0,0.32,42
Telangana,2019,2,10.43,18.5,90.3,17.0,1.0,0,0.309,0
Uttar Pradesh,2021,4,1.72,25.9,92.3,14.7,0.0,0,0.273,30
Telangana,2023,8,3.64,46.0,89.5,21.6,0.0,0,0.087,41
Punjab,2020,9,6.15,13.0,83.5,10.1,0.0,0,0.388,1
Assam,2024,8,4.72,11.6,61.6,16.4,0.0,0,0.187,43
Telangana,2023,1,3.01,39.6,38.2,8.8,0.9,0,0.098,33
Tamil Nadu,2024,1,23.96,34.9,46.0,15.1,5.3,0,0.53,30
Karnataka,2020,5,3.2,36.8,66.7,31.0,0.0,0,0.275,33
Tamil Nadu,2021,2,2.22,37.5,51.3,3.7,2.3,0,0.586,7
Kerala,2023,3,8.58,38.9,33.7,14.4,0.0,0,0.659,9
Karnataka,2019,4,1.99,18.6,64.3,30.2,0.0,0,0.11,34
Assam,2019,3,0.32,15.1,59.3,9.9,0.0,0,0.141,33
Haryana,2020,7,0.45,31.5,81.2,31.6,0.0,0,0.615,13
Karnataka,2020,1,0.88,29.4,96.5,8.1,10.4,0,0.274,13
Assam,2023,11,3.34,28.6,43.3,38.6,0.1,0,0.329,25
Haryana,2023,12,3.02,20.3,53.4,10.6,1.0,0,0.261,8
Uttar Pradesh,2022,11,23.43,17.7,46.8,0.5,3.5,0,0.254,18
Tamil Nadu,2021,11,2.04,32.8,66.9,28.4,0.7,0,0.278,4
Telangana,2021,5,1.4,22.2,26.2,31.5,0.0,0,0.212,19
Tamil Nadu,2019,6,2.88,35.5,87.0,19.3,0.0,0,0.315,17
Kerala,2020,4,7.09,33.8,46.1,23.8,0.0,0,0.168,8
Karnataka,2021,7,0.42,15.4,55.8,37.4,0.0,0,0.406,40
Rajasthan,2024,8,2.37,24.7,69.6,25.0,0.0,0,0.058,16
Haryana,2023,12,14.29,12.6,66.1,3.0,0.6,0,0.489,43
Kerala,2024,9,11.38,25.1,94.5,9.3,0.0,0,0.565,36
Haryana,2020,3,3.47,19.9,91.6,37.9,0.0,0,0.182,41
Rajasthan,2021,6,3.37,42.1,26.0,25.0,0.0,0,0.23,34
Tamil Nadu,2023,12,13.34,23.2,76.9,14.0,0.6,0,0.246,17
Assam,2023,2,3.65,33.2,43.4,17.2,2.3,0,0.18,22
Punjab,2019,5,1.07,19.1,68.2,23.2,0.0,0,0.458,12
Rajasthan,2022,8,13.55,17.6,80.7,3.9,0.0,0,0.397,6
Gujarat,2021,4,11.67,37.4,70.6,1.7,0.0,0,0.716,20
Uttar Pradesh,2021,7,5.08,44.2,74.1,0.5,0.0,0,0.513,5
Karnataka,2024,10,3.54,42.8,76.1,0.3,0.0,0,0.586,42
Madhya Pradesh,2019,7,1.6,20.2,66.0,16.7,0.0,0,0.279,10
West Bengal,2020,9,17.43,23.0,64.5,4.0,0.0,0,0.115,12
Punjab,2024,2,15.6,37.5,53.7,13.4,1.0,0,0.127,24
Uttar Pradesh,2024,3,9.18,27.2,43.7,9.3,0.0,0,0.246,38
Telangana,2020,5,11.63,42.7,94.5,37.2,0.0,0,0.105,45
Kerala,2022,5,4.69,33.3,94.5,22.0,0.0,0,0.427,18
Karnataka,2019,7,0.83,40.8,56.6,23.3,0.0,0,0.169,12
Uttar Pradesh,2021,7,17.27,37.8,64.5,42.0,0.0,0,0.563,23
Assam,2019,8,5.25,24.0,77.8,3.6,0.0,0,0.487,20
Assam,2024,10,2.59,41.7,43.4,31.7,0.0,0,0.356,40
Punjab,2019,5,9.85,27.0,23.9,14.8,0.0,0,0.329,38
Haryana,2019,8,0.59,22.2,28.9,22.8,0.0,0,0.481,10
Bihar,2023,5,24.77,26.9,88.7,16.3,0.0,0,0.686,24
Punjab,2024,5,0.66,30.0,47.1,29.4,0.0,0,0.273,26
Telangana,2024,6,2.95,21.6,44.3,10.3,0.0,0,0.262,6
Tamil Nadu,2019,11,38.0,10.9,24.7,25.7,2.0,1,0.487,1
Gujarat,2022,12,13.2,27.1,51.2,13.0,0.5,0,0.167,42
Tamil Nadu,2021,7,5.06,36.4,70.6,15.6,0.0,0,0.3,21
Maharashtra,2020,7,4.87,17.4,86.5,0.1,0.0,0,0.255,22
Bihar,2021,7,7.27,38.5,80.4,38.7,0.0,0,0.189,36
West Bengal,2019,10,4.5,19.9,46.1,8.4,0.0,0,0.273,2
Karnataka,2021,9,9.82,42.8,51.4,7.8,0.0,0,0.652,14
Uttar Pradesh,2020,8,8.93,41.3,74.7,42.4,0.0,0,0.319,41
Haryana,2020,2,6.9,28.8,97.1,14.6,0.8,0,0.347,17
Gujarat,2023,1,1.35,36.3,60.0,11.6,0.2,0,0.295,6
Rajasthan,2024,10,5.07,40.6,31.8,4.8,0.0,0,0.417,3
Maharashtra,2021,2,6.12,10.2,33.0,32.2,1.0,0,0.458,1
Bihar,2020,6,3.2,38.7,47.0,22.8,0.0,0,0.276,10
West Bengal,2024,4,6.64,11.0,62.9,25.6,0.0,0,0.273,30
Telangana,2023,2,9.56,35.4,85.9,5.1,3.4,0,0.464,29
Kerala,2022,10,6.07,44.2,47.2,17.5,0.0,0,0.182,24
Uttar Pradesh,2024,6,4.19,20.6,82.7,44.9,0.0,0,0.067,5
Gujarat,2021,4,6.16,29.2,96.9,22.8,0.0,0,0.285,22
Tamil Nadu,2022,4,3.22,43.2,67.9,8.0,0.0,0,0.161,2
Assam,2019,6,1.76,19.6,93.9,11.4,0.0,0,0.286,37
Assam,2022,11,10.22,19.6,76.9,32.1,2.8,0,0.324,33
Madhya Pradesh,2023,12,2.36,43.2,34.0,16.4,2.7,0,0.128,9
Kerala,2020,6,2.9,24.3,65.0,13.5,0.0,0,0.261,25
Bihar,2024,5,11.54,16.4,51.1,0.2,0.0,0,0.174,15
Bihar,2020,12,0.85,14.8,75.6,5.5,5.3,0,0.565,37
Madhya Pradesh,2020,9,15.54,9.0,73.7,33.7,0.0,0,0.439,38
Tamil Nadu,2022,8,5.56,9.4,83.8,1.1,0.0,0,0.045,17
Rajasthan,2023,6,4.15,9.1,51.2,10.6,0.0,0,0.565,1
Bihar,2019,2,2.38,27.5,23.4,14.0,6.6,0,0.285,19
Assam,2023,5,2.12,13.7,63.4,21.2,0.0,0,0.166,43
Tamil Nadu,2019,2,7.91,41.3,54.4,23.2,0.7,0,0.283,36
Odisha,2019,3,0.13,10.1,50.1,16.9,0.0,0,0.384,45
Odisha,2024,10,25.25,32.9,40.0,13.2,0.0,1,0.512,26
Punjab,2019,12,13.79,10.0,26.0,14.9,1.1,0,0.312,41
Bihar,2021,3,16.27,19.7,86.1,8.8,0.0,0,0.225,34
Kerala,2021,11,4.82,16.6,47.2,3.4,0.1,0,0.223,0
Karnataka,2023,1,0.08,24.3,50.7,32.4,0.7,0,0.062,11
Kerala,2023,10,24.49,23.7,69.5,35.0,0.0,0,0.321,27
Assam,2023,9,1.83,25.0,37.7,19.9,0.0,0,0.59,24
Assam,2023,12,5.65,14.1,25.8,0.9,1.4,0,0.07,32
Assam,2024,4,0.38,22.7,62.6,30.2,0.0,0,0.094,27
Maharashtra,2023,5,0.64,20.9,83.7,22.0,0.0,0,0.244,30
Rajasthan,2024,5,7.02,35.8,68.7,11.3,0.0,0,0.115,0
Uttar Pradesh,2020,9,1.91,18.0,49.5,0.2,0.0,0,0.485,5
Madhya Pradesh,2023,2,0.47,37.6,20.9,23.1,0.4,0,0.149,41
Assam,2022,2,4.72,18.9,92.7,23.8,1.7,0,0.546,40
Kerala,2022,12,4.52,37.4,33.0,25.0,1.8,0,0.194,20
Telangana,2021,11,8.6,36.7,64.3,17.9,0.0,0,0.376,31
Madhya Pradesh,2023,10,3.63,39.9,73.2,19.4,0.0,0,0.305,45
Madhya Pradesh,2020,5,1.99,22.6,29.9,1.3,0.0,0,0.281,16
Karnataka,2023,8,3.19,27.0,29.7,14.0,0.0,0,0.18,32
Uttar Pradesh,2019,5,1.89,37.6,47.0,11.7,0.0,0,0.18,35
Telangana,2020,3,3.26,35.8,38.7,19.9,0.0,0,0.243,44
West Bengal,2023,8,12.86,12.0,93.6,16.3,0.0,0,0.402,0
Punjab,2023,8,2.78,20.7,80.0,24.4,0.0,0,0.099,15
Rajasthan,2021,12,2.33,14.1,43.7,13.1,5.5,0,0.498,37
Telangana,2020,5,0.73,26.0,25.6,19.5,0.0,0,0.088,40
Uttar Pradesh,2023,6,0.17,13.3,60.4,18.5,0.0,0,0.183,31
West Bengal,2020,5,4.76,25.0,74.4,28.8,0.0,0,0.125,41
Tamil Nadu,2019,1,0.05,38.7,97.6,18.5,1.9,0,0.248,12
Madhya Pradesh,2021,10,8.45,45.8,35.9,9.6,0.0,0,0.498,24
Madhya Pradesh,2019,4,13.02,33.2,63.8,22.4,0.0,0,0.549,35
Madhya Pradesh,2021,5,13.99,33.2,68.3,28.4,0.0,0,0.364,29
Gujarat,2023,12,13.01,25.9,49.8,17.8,4.4,0,0.433,20
Maharashtra,2022,12,9.51,19.8,92.2,18.6,0.0,0,0.149,41
Rajasthan,2020,6,1.95,39.3,94.1,13.9,0.0,0,0.446,10
Gujarat,2020,1,2.64,10.1,74.2,8.5,2.0,0,0.286,9
Karnataka,2019,10,2.25,25.1,42.1,16.7,0.0,0,0.602,40
West Bengal,2021,12,1.86,11.9,90.5,35.1,1.4,0,0.219,41
Bihar,2020,6,7.23,21.1,75.0,22.7,0.0,0,0.39,25
Gujarat,2021,6,14.57,19.1,21.9,35.0,0.0,0,0.29,10
West Bengal,2023,11,1.56,42.1,75.1,21.1,0.9,0,0.272,17
Haryana,2022,12,32.16,32.9,60.5,17.9,5.2,1,0.337,27
Assam,2020,7,4.98,42.1,23.4,24.7,0.0,0,0.152,26
Gujarat,2020,4,0.46,30.8,56.9,28.5,0.0,0,0.152,44
Haryana,2023,10,7.18,30.8,83.7,23.7,0.0,0,0.536,28
Odisha,2019,8,3.05,43.2,77.9,11.7,0.0,0,0.189,33
West Bengal,2021,10,12.35,15.1,67.4,18.6,0.0,0,0.595,38
Karnataka,2024,5,0.97,14.6,84.9,20.3,0.0,0,0.205,34
Uttar Pradesh,2020,1,9.41,20.1,38.2,17.8,8.0,0,0.684,24
Tamil Nadu,2020,12,8.06,31.4,70.4,42.4,0.7,0,0.531,38
Rajasthan,2021,7,2.79,42.7,54.0,13.1,0.0,0,0.227,32
West Bengal,2023,10,1.78,14.5,97.5,27.6,0.0,0,0.41,25
West Bengal,2019,5,6.42,21.3,72.0,16.6,0.0,0,0.666,41
Odisha,2019,12,8.58,12.4,31.9,6.4,2.3,0,0.266,45
Punjab,2023,12,0.92,38.1,96.5,20.9,4.1,0,0.369,40
Assam,2022,12,3.04,27.1,40.7,18.0,0.0,0,0.211,24
Gujarat,2021,9,3.86,10.4,65.0,21.7,0.0,0,0.158,17
Haryana,2021,2,2.87,39.3,43.4,1.4,1.3,0,0.171,11
Madhya Pradesh,2022,12,11.23,25.6,25.9,28.9,0.2,0,0.156,26
Telangana,2019,11,2.47,35.8,79.6,16.2,2.1,0,0.249,30
Kerala,2023,4,2.54,29.7,95.1,9.0,0.0,0,0.169,20
West Bengal,2022,1,7.23,23.9,89.3,33.1,0.2,0,0.135,25
Maharashtra,2019,8,7.75,16.1,26.9,11.1,0.0,0,0.434,17
Gujarat,2022,11,0.16,30.2,30.7,1.8,4.0,0,0.149,15
Haryana,2024,9,18.77,44.5,95.7,9.6,0.0,0,0.318,31
Rajasthan,2020,3,11.96,39.4,25.0,10.6,0.0,0,0.218,44
Tamil Nadu,2022,8,5.53,10.8,62.4,5.3,0.0,0,0.166,27
Punjab,2020,3,8.46,30.0,43.3,5.9,0.0,0,0.278,25
Bihar,2019,4,19.09,24.7,37.3,18.7,0.0,0,0.263,42
Madhya Pradesh,2024,9,12.16,40.7,69.6,31.8,0.0,0,0.511,37
Bihar,2020,3,0.93,31.4,76.1,13.3,0.0,0,0.043,43
Punjab,2023,3,0.13,20.8,86.1,0.2,0.0,0,0.458,1
Madhya Pradesh,2023,10,11.77,11.4,58.3,33.7,0.0,0,0.238,4
Tamil Nadu,2024,1,1.19,18.2,94.4,4.7,3.1,0,0.333,25
Rajasthan,2022,7,20.06,12.2,62.0,20.9,0.0,0,0.624,14
Karnataka,2024,5,5.18,45.6,83.5,28.9,0.0,0,0.525,33
