city,road_type,primary_cause,severity,year,month,hour,vehicles_involved,injuries,fatalities,speed_kmh,visibility_m,road_lighting,road_divider,ambulance_response_min
Lucknow,Village Road,Over-speeding,Minor Injury,2023,4,13,4,0,0,59.7,525,Functional,Present,9.3
Indore,City Ring Road,Brake Failure,Grievous Injury,2021,12,2,2,3,0,17.5,532,Functional,Absent,4.0
Mysuru,Village Road,Mobile Phone Use,Fatal,2018,1,6,2,6,2,52.2,764,Non-Functional,Absent,13.3
Mumbai,Industrial Zone,Poor Road Condition,Grievous Injury,2024,3,6,2,5,0,54.7,141,Non-Functional,Absent,18.5
Kolkata,Village Road,Poor Road Condition,Grievous Injury,2024,1,1,3,3,0,81.7,786,Functional,Absent,30.2
Patna,Hill Road,Wrong-Side Driving,Grievous Injury,2021,9,17,4,6,0,89.0,842,Non-Functional,Absent,15.2
Varanasi,Village Road,Fog/Low Visibility,Minor Injury,2020,1,13,4,6,0,68.8,472,Non-Functional,Absent,8.2
Visakhapatnam,Village Road,Wrong-Side Driving,Minor Injury,2022,12,19,4,1,0,41.4,409,Functional,Present,19.9
Varanasi,Coastal Road,Overloaded Vehicle,Property Damage Only,2018,7,15,4,6,0,30.3,521,Functional,Present,19.5
Nashik,Village Road,Signal Jumping,Minor Injury,2020,9,9,1,0,0,20.8,577,Functional,Absent,12.4
Ranchi,Hill Road,Driver Fatigue,Grievous Injury,2023,11,5,3,5,0,49.8,114,Non-Functional,Absent,12.6
Mumbai,Village Road,Driver Fatigue,Property Damage Only,2019,9,0,4,5,0,52.7,491,Functional,Absent,21.8
Raipur,Industrial Zone,Overloaded Vehicle,Property Damage Only,2020,4,3,4,0,0,47.5,374,Non-Functional,Absent,12.7
Kanpur,City Ring Road,Pothole,Minor Injury,2022,10,22,3,5,0,58.8,51,Functional,Present,16.2
Ranchi,Village Road,Over-speeding,Property Damage Only,2021,7,1,2,1,0,52.9,895,Absent,Present,19.7
Patna,City Ring Road,Mobile Phone Use,Grievous Injury,2023,4,13,2,6,0,62.1,897,Absent,Absent,21.8
Kochi,Coastal Road,Overloaded Vehicle,Grievous Injury,2021,1,4,3,4,0,52.2,407,Functional,Absent,10.6
Indore,National Highway,Brake Failure,Grievous Injury,2024,9,9,4,3,0,67.5,329,Functional,Absent,16.7
Visakhapatnam,Hill Road,Overloaded Vehicle,Minor Injury,2021,1,5,2,1,0,49.7,158,Absent,Absent,25.6
Nashik,Village Road,Drunk Driving,Minor Injury,2020,3,11,3,0,0,57.1,612,Functional,Absent,9.0
Kolkata,Hill Road,Poor Road Condition,Minor Injury,2018,11,17,3,6,0,63.0,503,Non-Functional,Absent,25.3
Bhopal,Village Road,Driver Fatigue,Property Damage Only,2018,6,16,2,6,0,78.0,552,Non-Functional,Absent,20.9
Lucknow,Urban Arterial,Pedestrian Jaywalking,Property Damage Only,2024,8,22,1,0,0,62.1,549,Non-Functional,Absent,35.5
Kanpur,Coastal Road,Poor Road Condition,Property Damage Only,2023,3,4,2,2,0,42.8,811,Non-Functional,Absent,27.5
Mumbai,Coastal Road,Signal Jumping,Minor Injury,2019,10,8,1,4,0,58.7,191,Non-Functional,Absent,21.7
Rajkot,State Highway,Signal Jumping,Fatal,2020,8,3,2,4,3,18.5,344,Functional,Present,17.2
Ranchi,National Highway,Pothole,Minor Injury,2019,7,18,3,2,0,29.0,82,Absent,Present,9.7
Allahabad,Expressway,Overloaded Vehicle,Grievous Injury,2022,11,10,2,4,0,121.5,51,Functional,Present,8.7
Faridabad,Hill Road,Driver Fatigue,Property Damage Only,2021,9,19,1,1,0,83.1,90,Absent,Absent,23.8
Varanasi,Coastal Road,Wrong-Side Driving,Grievous Injury,2022,11,23,3,1,0,42.2,786,Absent,Present,9.5
Bengaluru,Coastal Road,Pedestrian Jaywalking,Fatal,2018,6,9,3,6,3,47.4,466,Non-Functional,Absent,19.7
Jaipur,Village Road,Drunk Driving,Grievous Injury,2021,6,0,4,2,0,44.1,942,Absent,Present,19.1
Bengaluru,State Highway,Over-speeding,Grievous Injury,2021,11,23,2,3,0,69.4,334,Functional,Absent,19.6
Bengaluru,State Highway,Mobile Phone Use,Property Damage Only,2023,3,8,4,0,0,39.7,360,Functional,Present,15.5
Delhi,Coastal Road,Brake Failure,Minor Injury,2020,2,10,3,4,0,48.6,812,Non-Functional,Present,17.8
Coimbatore,Expressway,Poor Road Condition,Minor Injury,2023,1,13,2,4,0,77.6,105,Functional,Absent,23.6
Mysuru,Hill Road,Poor Road Condition,Minor Injury,2023,8,1,2,4,0,48.5,693,Non-Functional,Absent,22.0
Faridabad,State Highway,Over-speeding,Fatal,2022,3,1,1,3,1,43.3,492,Absent,Absent,28.2
Delhi,Industrial Zone,Overloaded Vehicle,Minor Injury,2022,12,22,3,1,0,38.0,524,Functional,Absent,7.5
Amritsar,Expressway,Over-speeding,Property Damage Only,2019,10,5,1,5,0,81.1,498,Functional,Present,18.9
Raipur,National Highway,Fog/Low Visibility,Grievous Injury,2023,5,2,3,6,0,46.3,804,Functional,Absent,15.9
Patna,City Ring Road,Signal Jumping,Grievous Injury,2023,4,21,2,3,0,49.4,420,Absent,Absent,23.7
Mumbai,National Highway,Mobile Phone Use,Minor Injury,2022,10,21,4,0,0,38.7,211,Absent,Absent,14.0
Mumbai,Expressway,Fog/Low Visibility,Minor Injury,2018,1,20,3,2,0,35.7,176,Functional,Present,34.4
Indore,Urban Arterial,Pedestrian Jaywalking,Fatal,2021,11,13,4,4,0,53.1,223,Functional,Absent,20.9
Jaipur,Coastal Road,Over-speeding,Grievous Injury,2023,7,14,4,4,0,61.8,818,Functional,Absent,28.5
Varanasi,Hill Road,Tyre Burst,Minor Injury,2022,4,15,2,6,0,62.6,375,Functional,Absent,10.4
Kolkata,City Ring Road,Brake Failure,Grievous Injury,2019,3,10,3,3,0,31.8,407,Functional,Absent,16.9
Chennai,Industrial Zone,Pothole,Property Damage Only,2018,3,14,1,5,0,36.5,167,Functional,Absent,38.7
Bengaluru,Urban Arterial,Fog/Low Visibility,Property Damage Only,2021,11,15,1,0,0,69.6,41,Absent,Present,19.7
Jodhpur,State Highway,Fog/Low Visibility,Minor Injury,2018,1,18,2,5,0,48.8,895,Functional,Absent,13.1
Rajkot,Urban Arterial,Tyre Burst,Minor Injury,2023,4,21,1,1,0,51.5,385,Functional,Present,15.1
Lucknow,Coastal Road,Pedestrian Jaywalking,Fatal,2023,6,0,4,3,0,69.7,88,Functional,Absent,23.3
Coimbatore,Hill Road,Animal on Road,Fatal,2021,11,8,1,4,0,17.0,518,Functional,Present,13.6
Indore,Coastal Road,Signal Jumping,Property Damage Only,2023,11,7,1,6,0,24.8,248,Non-Functional,Absent,4.0
Lucknow,National Highway,Rain/Wet Road,Minor Injury,2018,1,1,4,1,0,16.5,997,Absent,Present,16.2
Surat,National Highway,Signal Jumping,Fatal,2018,5,17,3,6,0,60.7,688,Non-Functional,Absent,19.5
Mysuru,Urban Arterial,Animal on Road,Minor Injury,2022,11,15,2,1,0,71.8,565,Non-Functional,Absent,17.2
Guwahati,Industrial Zone,Wrong-Side Driving,Property Damage Only,2019,1,2,3,0,0,32.9,504,Absent,Present,5.1
Nagpur,Village Road,Mobile Phone Use,Minor Injury,2020,4,20,2,5,0,51.6,256,Functional,Present,10.7
Ranchi,Village Road,Pedestrian Jaywalking,Property Damage Only,2020,4,21,1,6,0,56.9,978,Non-Functional,Present,28.5
Chandigarh,National Highway,Pothole,Fatal,2020,11,19,1,2,3,72.0,736,Functional,Absent,25.2
Bhopal,Expressway,Rain/Wet Road,Grievous Injury,2019,9,2,3,5,0,44.3,918,Functional,Absent,14.6
Jodhpur,Coastal Road,Tyre Burst,Property Damage Only,2024,4,3,3,0,0,29.0,448,Absent,Absent,16.4
Chandigarh,Urban Arterial,Brake Failure,Minor Injury,2018,4,21,3,6,0,78.4,596,Non-Functional,Absent,16.2
Mysuru,Industrial Zone,Signal Jumping,Minor Injury,2020,6,17,1,5,0,34.3,267,Absent,Absent,26.2
Delhi,Village Road,Mobile Phone Use,Property Damage Only,2020,7,3,4,0,0,81.5,511,Absent,Absent,17.2
Surat,Expressway,Over-speeding,Minor Injury,2020,10,0,2,6,0,48.3,69,Functional,Present,25.1
Mysuru,Coastal Road,Overloaded Vehicle,Minor Injury,2021,7,6,2,5,0,62.9,102,Functional,Present,6.0
Meerut,Hill Road,Drunk Driving,Property Damage Only,2021,10,22,2,4,0,38.4,142,Absent,Absent,14.8
Ranchi,State Highway,Overloaded Vehicle,Property Damage Only,2023,10,2,3,4,0,29.6,772,Absent,Absent,26.5
Bengaluru,National Highway,Wrong-Side Driving,Minor Injury,2024,5,11,3,0,0,62.6,387,Functional,Absent,23.4
Pune,City Ring Road,Pedestrian Jaywalking,Fatal,2024,6,0,3,3,1,49.6,512,Functional,Absent,22.7
Jodhpur,Expressway,Tyre Burst,Minor Injury,2018,8,23,1,6,0,41.8,311,Absent,Absent,11.9
Kanpur,Hill Road,Drunk Driving,Property Damage Only,2019,9,14,2,5,0,60.0,33,Functional,Present,4.0
Ahmedabad,Village Road,Wrong-Side Driving,Minor Injury,2020,1,10,4,0,0,78.3,575,Functional,Absent,22.3
Indore,Coastal Road,Tyre Burst,Property Damage Only,2020,7,14,4,5,0,55.8,630,Non-Functional,Present,7.0
Kochi,Expressway,Overloaded Vehicle,Fatal,2020,10,1,2,5,3,76.3,528,Absent,Present,30.5
Faridabad,City Ring Road,Tyre Burst,Minor Injury,2019,3,6,2,6,0,63.6,928,Functional,Present,24.5
Amritsar,Industrial Zone,Mobile Phone Use,Property Damage Only,2021,12,8,1,5,0,58.4,657,Non-Functional,Absent,17.2
Mumbai,Expressway,Tyre Burst,Grievous Injury,2024,11,21,4,4,0,35.9,59,Functional,Absent,14.1
Allahabad,Village Road,Animal on Road,Property Damage Only,2022,4,2,1,0,0,15.5,168,Non-Functional,Absent,5.6
Mumbai,Urban Arterial,Fog/Low Visibility,Minor Injury,2020,10,15,3,4,0,42.6,164,Non-Functional,Absent,12.0
Bengaluru,City Ring Road,Signal Jumping,Fatal,2023,7,15,4,0,0,10.0,938,Functional,Present,18.3
Mumbai,City Ring Road,Fog/Low Visibility,Minor Injury,2023,8,11,1,1,0,40.9,31,Functional,Present,22.7
Ghaziabad,Coastal Road,Wrong-Side Driving,Property Damage Only,2019,6,20,4,3,0,59.5,831,Functional,Absent,26.5
Meerut,Hill Road,Pothole,Grievous Injury,2020,6,6,4,5,0,48.8,321,Functional,Absent,24.1
Amritsar,Urban Arterial,Rain/Wet Road,Property Damage Only,2022,10,21,2,3,0,55.1,63,Absent,Present,17.1
Guwahati,National Highway,Over-speeding,Grievous Injury,2022,12,10,3,0,0,77.2,543,Functional,Absent,32.6
Ranchi,Expressway,Tyre Burst,Fatal,2023,4,19,1,6,2,51.1,661,Functional,Absent,14.3
Kochi,Coastal Road,Fog/Low Visibility,Minor Injury,2019,2,7,3,3,0,58.6,865,Functional,Present,16.4
Coimbatore,Hill Road,Rain/Wet Road,Fatal,2024,2,21,4,5,2,71.3,932,Non-Functional,Present,17.3
Varanasi,Urban Arterial,Wrong-Side Driving,Fatal,2023,10,21,4,1,3,89.8,811,Absent,Absent,27.4
Nashik,Urban Arterial,Brake Failure,Property Damage Only,2021,7,1,2,4,0,62.4,51,Absent,Absent,10.6
Amritsar,Expressway,Poor Road Condition,Grievous Injury,2018,5,17,3,5,0,66.3,86,Absent,Absent,13.9
Jodhpur,State Highway,Drunk Driving,Minor Injury,2023,12,6,4,5,0,73.0,751,Non-Functional,Present,17.1
Raipur,State Highway,Animal on Road,Grievous Injury,2023,1,6,1,0,0,72.4,328,Functional,Absent,18.6
Chennai,City Ring Road,Mobile Phone Use,Minor Injury,2019,8,2,2,3,0,32.5,545,Non-Functional,Absent,20.6
Mumbai,Urban Arterial,Poor Road Condition,Minor Injury,2019,4,18,3,3,0,108.7,835,Functional,Absent,16.0
Surat,Coastal Road,Over-speeding,Minor Injury,2018,12,15,4,6,0,10.0,734,Absent,Absent,16.7
Raipur,National Highway,Rain/Wet Road,Property Damage Only,2019,8,1,4,4,0,51.7,821,Functional,Absent,16.2
Bhopal,Industrial Zone,Brake Failure,Property Damage Only,2024,1,11,4,3,0,28.6,377,Functional,Present,13.3
Mumbai,Industrial Zone,Over-speeding,Minor Injury,2018,8,23,2,0,0,56.9,871,Functional,Absent,21.4
Hyderabad,Expressway,Poor Road Condition,Minor Injury,2024,10,22,1,6,0,67.3,725,Functional,Absent,10.4
Pune,State Highway,Drunk Driving,Property Damage Only,2022,7,10,1,4,0,52.4,419,Functional,Absent,10.6
Indore,Hill Road,Animal on Road,Minor Injury,2021,5,7,4,1,0,57.6,378,Functional,Present,5.0
Ahmedabad,National Highway,Over-speeding,Grievous Injury,2024,7,7,3,1,0,28.3,31,Functional,Absent,14.8
Kanpur,State Highway,Rain/Wet Road,Grievous Injury,2019,2,20,4,0,0,51.6,827,Functional,Present,24.0
Surat,Coastal Road,Over-speeding,Fatal,2022,11,21,1,6,2,57.4,414,Functional,Present,12.1
Amritsar,National Highway,Poor Road Condition,Minor Injury,2019,3,2,2,0,0,56.5,708,Absent,Absent,5.0
Coimbatore,Expressway,Fog/Low Visibility,Fatal,2024,8,9,1,3,1,84.6,566,Non-Functional,Absent,25.2
Chandigarh,National Highway,Overloaded Vehicle,Minor Injury,2022,10,8,2,1,0,34.8,214,Absent,Absent,26.8
Faridabad,Coastal Road,Poor Road Condition,Fatal,2023,8,22,2,3,2,40.4,571,Functional,Absent,26.8
Ranchi,Industrial Zone,Mobile Phone Use,Minor Injury,2022,4,5,3,2,0,67.8,798,Functional,Present,17.5
Ranchi,Village Road,Pothole,Minor Injury,2019,2,16,4,5,0,49.3,631,Functional,Absent,12.4
Coimbatore,Hill Road,Wrong-Side Driving,Grievous Injury,2023,11,17,3,2,0,55.0,186,Non-Functional,Present,14.0
Varanasi,City Ring Road,Animal on Road,Minor Injury,2023,11,18,3,5,0,69.9,457,Absent,Absent,20.7
Bhopal,Expressway,Poor Road Condition,Grievous Injury,2022,8,20,4,0,0,60.6,469,Non-Functional,Present,4.0
Nagpur,National Highway,Brake Failure,Fatal,2020,7,13,4,1,0,53.9,657,Non-Functional,Present,21.5
Faridabad,City Ring Road,Driver Fatigue,Minor Injury,2018,11,9,2,1,0,70.7,463,Functional,Present,30.0
Mumbai,Coastal Road,Pedestrian Jaywalking,Grievous Injury,2020,6,5,3,0,0,61.1,347,Absent,Present,9.0
Raipur,National Highway,Animal on Road,Fatal,2020,1,9,3,5,0,61.2,717,Non-Functional,Present,10.0
Ranchi,Industrial Zone,Poor Road Condition,Fatal,2022,5,1,3,5,1,41.5,751,Non-Functional,Absent,19.2
Faridabad,Coastal Road,Fog/Low Visibility,Property Damage Only,2018,7,6,1,3,0,46.2,714,Functional,Absent,10.1
Lucknow,Coastal Road,Brake Failure,Minor Injury,2020,8,8,2,1,0,74.6,394,Functional,Absent,34.8
Ranchi,State Highway,Pedestrian Jaywalking,Fatal,2018,6,11,4,5,2,68.5,513,Functional,Absent,13.2
Chandigarh,Expressway,Driver Fatigue,Minor Injury,2019,7,19,2,3,0,72.0,468,Functional,Absent,11.3
Nashik,City Ring Road,Tyre Burst,Grievous Injury,2021,10,18,2,6,0,37.9,727,Functional,Present,10.5
Bengaluru,Industrial Zone,Drunk Driving,Property Damage Only,2022,7,3,2,5,0,54.9,916,Functional,Absent,14.1
Delhi,State Highway,Drunk Driving,Grievous Injury,2018,1,3,1,5,0,43.8,881,Functional,Present,15.5
Allahabad,Industrial Zone,Signal Jumping,Grievous Injury,2019,9,11,4,2,0,44.0,199,Functional,Present,4.0
Raipur,Industrial Zone,Poor Road Condition,Grievous Injury,2018,8,1,1,6,0,71.5,960,Non-Functional,Absent,17.4
Amritsar,City Ring Road,Drunk Driving,Property Damage Only,2022,4,18,2,6,0,41.3,475,Absent,Present,18.7
Agra,National Highway,Over-speeding,Grievous Injury,2019,5,20,3,3,0,38.7,177,Absent,Present,25.6
Lucknow,Coastal Road,Animal on Road,Minor Injury,2020,10,17,3,0,0,82.1,716,Absent,Absent,17.6
Nashik,Village Road,Brake Failure,Grievous Injury,2020,4,9,2,0,0,24.0,595,Functional,Present,15.7
Jaipur,Urban Arterial,Driver Fatigue,Grievous Injury,2019,3,8,4,0,0,44.3,602,Functional,Absent,27.4
Indore,City Ring Road,Pedestrian Jaywalking,Minor Injury,2019,2,2,2,3,0,58.0,688,Functional,Present,21.1
Lucknow,Coastal Road,Driver Fatigue,Grievous Injury,2024,10,15,1,1,0,35.8,996,Non-Functional,Present,4.0
Nashik,Expressway,Driver Fatigue,Property Damage Only,2024,5,6,4,4,0,75.9,909,Functional,Absent,21.6
Mysuru,Urban Arterial,Overloaded Vehicle,Property Damage Only,2019,7,21,4,4,0,67.3,231,Non-Functional,Present,21.9
Hyderabad,Hill Road,Drunk Driving,Fatal,2021,5,14,1,5,3,17.6,252,Functional,Present,20.3
Meerut,Hill Road,Drunk Driving,Property Damage Only,2020,6,8,2,1,0,41.7,105,Functional,Absent,28.0
Kochi,Industrial Zone,Brake Failure,Minor Injury,2022,9,16,2,4,0,85.8,201,Absent,Absent,4.0
Jaipur,Hill Road,Brake Failure,Grievous Injury,2023,4,15,2,1,0,80.1,198,Absent,Present,12.2
Kolkata,Village Road,Overloaded Vehicle,Minor Injury,2023,9,17,4,6,0,61.3,818,Functional,Absent,25.3
Jodhpur,Hill Road,Tyre Burst,Grievous Injury,2022,12,7,2,2,0,67.7,951,Functional,Absent,14.0
Agra,State Highway,Fog/Low Visibility,Minor Injury,2023,4,13,1,1,0,44.9,168,Functional,Absent,10.3
Rajkot,National Highway,Fog/Low Visibility,Minor Injury,2019,4,3,4,1,0,39.3,519,Non-Functional,Present,22.4
Lucknow,Hill Road,Fog/Low Visibility,Minor Injury,2022,7,21,3,5,0,76.8,322,Functional,Present,4.0
Visakhapatnam,Expressway,Mobile Phone Use,Fatal,2023,6,22,1,4,3,80.9,669,Non-Functional,Absent,12.1
Bengaluru,Industrial Zone,Tyre Burst,Minor Injury,2019,11,6,1,1,0,35.1,143,Non-Functional,Present,29.6
Surat,Industrial Zone,Overloaded Vehicle,Minor Injury,2024,8,2,3,4,0,35.0,110,Functional,Present,15.4
Ahmedabad,City Ring Road,Pothole,Grievous Injury,2023,2,16,3,3,0,62.1,376,Absent,Absent,15.2
Coimbatore,Village Road,Rain/Wet Road,Minor Injury,2019,11,11,3,1,0,80.5,445,Functional,Absent,24.4
Jodhpur,Hill Road,Pothole,Grievous Injury,2018,12,10,4,4,0,52.5,579,Non-Functional,Present,29.0
Jodhpur,National Highway,Pedestrian Jaywalking,Fatal,2021,3,6,2,6,0,96.2,938,Non-Functional,Absent,17.8
Amritsar,Expressway,Pedestrian Jaywalking,Minor Injury,2022,12,8,2,0,0,67.8,70,Functional,Absent,22.5
Mysuru,State Highway,Drunk Driving,Minor Injury,2018,11,20,1,1,0,55.3,245,Non-Functional,Present,12.8
Kolkata,Hill Road,Pothole,Fatal,2020,2,2,3,1,1,45.6,593,Non-Functional,Present,18.5
Jaipur,State Highway,Pothole,Minor Injury,2022,4,17,4,0,0,64.9,773,Non-Functional,Absent,20.5
Pune,State Highway,Pedestrian Jaywalking,Minor Injury,2024,3,20,4,4,0,63.7,770,Functional,Absent,4.8
Kochi,Hill Road,Driver Fatigue,Grievous Injury,2020,3,14,3,1,0,54.2,53,Non-Functional,Present,17.1
Chennai,City Ring Road,Pothole,Minor Injury,2018,8,8,4,6,0,76.1,223,Functional,Present,30.3
Guwahati,Expressway,Rain/Wet Road,Minor Injury,2020,5,23,4,3,0,15.8,571,Functional,Present,15.6
Chandigarh,Hill Road,Overloaded Vehicle,Fatal,2024,3,15,1,2,1,49.8,330,Non-Functional,Present,18.0
Rajkot,City Ring Road,Over-speeding,Fatal,2022,10,11,1,1,1,46.5,943,Functional,Present,34.4
Allahabad,National Highway,Animal on Road,Fatal,2019,1,13,1,5,1,48.9,723,Functional,Absent,13.8
Agra,Village Road,Brake Failure,Grievous Injury,2024,1,8,2,4,0,74.0,492,Non-Functional,Absent,4.0
Pune,National Highway,Wrong-Side Driving,Property Damage Only,2019,3,8,4,3,0,53.9,998,Non-Functional,Present,15.5
Ahmedabad,Coastal Road,Mobile Phone Use,Property Damage Only,2022,4,22,2,6,0,48.9,37,Absent,Present,4.0
Ranchi,City Ring Road,Rain/Wet Road,Fatal,2024,8,21,2,6,2,68.9,691,Functional,Absent,28.6
Patna,Village Road,Brake Failure,Minor Injury,2021,11,23,1,6,0,40.3,923,Functional,Present,28.5
Mumbai,Hill Road,Over-speeding,Minor Injury,2021,8,17,1,5,0,46.7,983,Absent,Present,20.7
Mumbai,State Highway,Pothole,Fatal,2024,7,16,4,3,2,69.3,878,Absent,Absent,4.0
Lucknow,Coastal Road,Brake Failure,Grievous Injury,2020,10,12,4,1,0,64.1,954,Absent,Absent,23.2
Nagpur,Hill Road,Pedestrian Jaywalking,Minor Injury,2019,5,10,1,2,0,60.4,351,Functional,Absent,30.1
Rajkot,Urban Arterial,Drunk Driving,Grievous Injury,2024,4,1,1,1,0,40.6,522,Non-Functional,Present,18.2
Nashik,Industrial Zone,Pothole,Fatal,2024,2,11,4,1,2,80.4,315,Non-Functional,Absent,22.2
Mysuru,Urban Arterial,Overloaded Vehicle,Fatal,2020,1,11,2,5,1,23.8,760,Functional,Present,32.1
Chandigarh,Hill Road,Driver Fatigue,Fatal,2023,3,20,4,1,3,18.6,321,Absent,Absent,12.9
Kanpur,Village Road,Overloaded Vehicle,Property Damage Only,2018,5,10,2,1,0,63.3,936,Non-Functional,Present,4.0
Chennai,Hill Road,Drunk Driving,Minor Injury,2022,3,19,2,4,0,43.2,826,Absent,Present,11.1
Kochi,Hill Road,Overloaded Vehicle,Property Damage Only,2024,1,14,1,1,0,67.3,270,Non-Functional,Absent,6.7
Guwahati,Industrial Zone,Wrong-Side Driving,Minor Injury,2022,11,11,2,6,0,36.1,894,Functional,Present,12.1
Patna,Urban Arterial,Animal on Road,Minor Injury,2018,3,7,3,0,0,60.2,108,Non-Functional,Present,16.9
Mumbai,Urban Arterial,Over-speeding,Property Damage Only,2019,12,21,2,5,0,52.4,483,Functional,Present,22.1
Nashik,State Highway,Pedestrian Jaywalking,Property Damage Only,2022,10,1,2,1,0,17.7,532,Functional,Present,5.3
Bengaluru,Village Road,Brake Failure,Property Damage Only,2019,2,20,2,2,0,55.7,995,Absent,Absent,19.8
Ranchi,Coastal Road,Wrong-Side Driving,Grievous Injury,2021,4,10,1,1,0,54.1,450,Functional,Present,10.6
Guwahati,City Ring Road,Brake Failure,Grievous Injury,2019,2,17,4,4,0,68.6,974,Functional,Absent,20.2
Nagpur,Hill Road,Fog/Low Visibility,Grievous Injury,2023,2,16,3,0,0,73.9,585,Functional,Absent,20.2
Delhi,Urban Arterial,Fog/Low Visibility,Minor Injury,2021,11,7,1,6,0,19.3,435,Non-Functional,Absent,33.4
Pune,Urban Arterial,Driver Fatigue,Minor Injury,2023,5,13,2,4,0,48.4,309,Non-Functional,Absent,4.0
Lucknow,Industrial Zone,Signal Jumping,Property Damage Only,2021,11,20,1,2,0,58.7,479,Functional,Present,24.5
Bhopal,Industrial Zone,Fog/Low Visibility,Minor Injury,2019,2,12,4,6,0,42.0,557,Non-Functional,Absent,24.8
Mysuru,Hill Road,Brake Failure,Grievous Injury,2020,3,21,1,0,0,44.3,573,Non-Functional,Absent,15.0
Surat,State Highway,Brake Failure,Property Damage Only,2019,9,21,2,1,0,10.0,945,Absent,Absent,31.2
Kolkata,Village Road,Signal Jumping,Minor Injury,2022,6,5,4,6,0,64.9,330,Functional,Absent,6.9
Mumbai,Industrial Zone,Overloaded Vehicle,Property Damage Only,2018,11,19,3,3,0,85.5,897,Non-Functional,Absent,18.7
Kanpur,Village Road,Brake Failure,Fatal,2023,6,9,1,3,3,69.9,286,Functional,Absent,27.9
Mysuru,City Ring Road,Tyre Burst,Minor Injury,2018,11,18,1,1,0,66.8,182,Non-Functional,Present,9.3
Pune,City Ring Road,Over-speeding,Fatal,2022,10,10,2,5,0,61.0,231,Non-Functional,Present,23.4
Chennai,Hill Road,Pothole,Minor Injury,2019,5,7,3,5,0,60.2,991,Functional,Present,32.8
Ghaziabad,Hill Road,Tyre Burst,Property Damage Only,2020,4,2,1,5,0,44.1,789,Non-Functional,Absent,20.6
Ahmedabad,Expressway,Wrong-Side Driving,Property Damage Only,2021,12,14,4,6,0,42.1,35,Non-Functional,Absent,20.0
Bengaluru,City Ring Road,Pothole,Minor Injury,2019,4,19,1,6,0,85.4,739,Absent,Present,10.6
Visakhapatnam,Expressway,Tyre Burst,Minor Injury,2021,7,6,2,0,0,25.3,388,Functional,Present,8.4
Hyderabad,Village Road,Over-speeding,Grievous Injury,2021,4,16,3,6,0,50.8,505,Absent,Present,15.3
Kochi,State Highway,Pedestrian Jaywalking,Property Damage Only,2018,7,15,2,1,0,59.0,476,Non-Functional,Absent,15.5
Agra,Village Road,Brake Failure,Property Damage Only,2021,6,23,3,6,0,69.4,266,Functional,Absent,9.1
Indore,Village Road,Tyre Burst,Property Damage Only,2018,8,11,4,6,0,90.4,552,Non-Functional,Absent,19.3
Varanasi,Expressway,Wrong-Side Driving,Grievous Injury,2023,6,16,4,0,0,68.6,995,Non-Functional,Absent,37.6
Chandigarh,Expressway,Rain/Wet Road,Grievous Injury,2019,10,15,2,3,0,63.9,203,Functional,Absent,10.5
Jodhpur,State Highway,Brake Failure,Minor Injury,2021,7,21,3,2,0,76.0,321,Functional,Absent,9.3
Raipur,State Highway,Poor Road Condition,Fatal,2020,5,2,1,5,0,42.6,193,Non-Functional,Present,23.7
Chennai,Village Road,Overloaded Vehicle,Minor Injury,2023,3,4,2,2,0,68.0,198,Non-Functional,Present,22.1
Ranchi,National Highway,Drunk Driving,Property Damage Only,2021,8,18,3,6,0,18.3,753,Functional,Present,21.6
Pune,National Highway,Pothole,Minor Injury,2020,10,16,2,1,0,62.5,714,Functional,Absent,22.9
Kolkata,Expressway,Drunk Driving,Minor Injury,2023,4,9,1,5,0,10.0,70,Functional,Absent,19.2
Ahmedabad,City Ring Road,Mobile Phone Use,Grievous Injury,2021,9,16,3,3,0,58.2,514,Functional,Absent,19.0
Patna,Industrial Zone,Brake Failure,Property Damage Only,2023,2,15,2,1,0,51.4,571,Functional,Present,15.8
Faridabad,State Highway,Animal on Road,Property Damage Only,2020,7,9,4,3,0,63.7,359,Functional,Absent,30.7
Delhi,Coastal Road,Tyre Burst,Minor Injury,2020,8,22,3,4,0,32.8,74,Absent,Present,17.4
Kochi,Industrial Zone,Signal Jumping,Fatal,2023,5,7,2,3,1,38.7,924,Functional,Absent,17.1
Bhopal,State Highway,Tyre Burst,Property Damage Only,2020,10,16,2,4,0,41.5,400,Non-Functional,Absent,6.9
Kochi,State Highway,Poor Road Condition,Grievous Injury,2024,5,12,4,4,0,38.5,539,Functional,Absent,24.7
Allahabad,Village Road,Driver Fatigue,Minor Injury,2024,9,14,1,5,0,43.0,157,Non-Functional,Absent,26.2
Varanasi,State Highway,Over-speeding,Property Damage Only,2023,4,0,1,3,0,60.4,129,Functional,Absent,23.3
Lucknow,Expressway,Fog/Low Visibility,Property Damage Only,2020,2,19,3,0,0,39.0,782,Absent,Absent,14.5
Bengaluru,Industrial Zone,Poor Road Condition,Fatal,2020,4,11,1,6,0,80.2,849,Absent,Present,14.7
Nagpur,Expressway,Poor Road Condition,Property Damage Only,2021,7,13,2,0,0,51.8,20,Functional,Absent,16.2
Pune,State Highway,Animal on Road,Minor Injury,2022,8,12,1,0,0,32.4,152,Absent,Present,21.4
Ahmedabad,National Highway,Tyre Burst,Minor Injury,2023,7,16,3,5,0,82.6,474,Functional,Absent,13.2
